Sample,Condition,F3,F4,F7,F8,Fz,Frontal_Mean_Relative
16,2-back,0.7976104790176846,1.019112365039553,1.0615915331181813,0.9872613515637545,1.0915881676043675,0.9914327792687082
16,3-back,1.9878709684702525,4.777304158639383,4.910148069598474,2.2450378836004234,2.015950412973038,3.1872622986563144
16,4-back,0.5397446483211213,0.9615478508336202,1.1402976605116317,1.141230232496225,0.9096200557536749,0.9384880895832547
17,1-back,1.0,1.0,1.0,1.0,1.0,1.0
17,2-back,1.196494498503857,1.0426743352097707,0.14842754452781737,0.9483394466829193,1.1344565966620925,0.8940784843172913
17,3-back,1.166399807084607,1.0075395834444352,0.20211074696977724,1.0564711192939635,1.0910434123147414,0.9047129338215049
17,4-back,1.2105134669990467,0.9953753524683371,0.9361172772464543,0.9743275332999384,1.0774928467376779,1.0387652953502908
18,1-back,1.0,1.0,1.0,1.0,1.0,1.0
18,2-back,0.9476301828661565,0.9442071642794879,1.1436532894016935,0.8464603991071861,0.91924787716468,0.9602397825638407
18,3-back,0.8258232981557995,0.8221232646546629,1.0261711454830873,0.853145573438121,0.7734951652205451,0.8601516893904432
18,4-back,0.9214179537680115,0.9248208873507051,1.1260998248764331,1.1026822721842693,0.878569777260448,0.9907181430879733
