,Sample,Condition,F3_Mean,F4_Mean,F7_Mean,F8_Mean,Fz_Mean,F3_Median,F4_Median,F7_Median,F8_Median,Fz_Median,F3_Q75,F4_Q75,F7_Q75,F8_Q75,Fz_Q75,Frontal_Mean,Frontal_Median,Frontal_Q75
37,10,2-back,3.8453119702160343e-10,2.1972712009807642e-10,6.482875958447453e-10,2.983404462121756e-10,3.944094573151341e-10,2.6138704473464463e-10,1.9416877266826588e-10,2.8169674952596907e-10,2.0049070043063564e-10,2.9658976940041107e-10,5.596352730063062e-10,2.7824951364544507e-10,1.4072296330370982e-09,4.887330753122702e-10,5.31429740270888e-10,3.890591632983469e-10,2.4686660735198526e-10,6.530554470544015e-10
38,10,3-back,6.33383807238496e-10,3.4639081359932725e-10,1.0780799698286852e-09,4.6246136065112373e-10,5.971735720820003e-10,3.943294422304885e-10,2.4817237123499554e-10,3.890793991723399e-10,2.940571367551779e-10,3.6097599251305013e-10,1.0375216080933854e-09,5.519108014695549e-10,2.0037085450209772e-09,8.346049234285993e-10,9.842962302331268e-10,6.234979046799265e-10,3.3732286838121043e-10,1.0824084216491287e-09
39,10,4-back,6.603262623842272e-10,3.561342845550882e-10,1.107189315988437e-09,4.902785499496651e-10,6.34424241952249e-10,4.4078162292056415e-10,2.1737110186738583e-10,5.762940777944471e-10,3.0074430428037245e-10,4.083209768891807e-10,1.0479090551940218e-09,5.157483965311992e-10,1.917815869633028e-09,8.72738024192722e-10,1.0110287206407987e-09,6.496705309659333e-10,3.887024167503901e-10,1.073048013238354e-09
40,11,1-back,1.266666740732091e-10,1.4051663186582592e-10,6.5415464140293e-11,1.1616667602318658e-10,1.6415758391222578e-10,1.4259247016865594e-10,1.4143932533496156e-10,6.225791842064197e-11,1.2802525635032875e-10,1.8109642620399072e-10,1.5272672629394213e-10,1.6943052334969647e-10,1.0045424669985604e-10,1.4680633955736554e-10,1.9624180641455134e-10,1.2258460600294809e-10,1.3108227929571578e-10,1.531319284630823e-10
41,11,2-back,9.071743602908171e-11,1.1936994304006095e-10,4.699738343087102e-11,9.203971266345754e-11,1.4727117678525492e-10,9.215445667530195e-11,1.0815316262753625e-10,4.017132264699439e-11,8.525873445041923e-11,1.3331480615941965e-10,1.222256967821535e-10,1.4750406489715267e-10,6.328785894684719e-11,1.1232313781024608e-10,1.9722619649211767e-10,9.927913038974524e-11,9.18104965119343e-11,1.2851339098570343e-10
42,11,3-back,7.193031036557981e-11,1.0908538994385573e-10,4.715504714860762e-11,9.401761844462607e-11,1.098419739118893e-10,6.288676931860838e-11,9.824346954848567e-11,3.3620879222247526e-11,8.480192171965543e-11,1.0811724140459078e-10,1.0490373448292054e-10,1.5628491991230802e-10,6.116454178081559e-11,1.3187352927581786e-10,1.3069878002101116e-10,8.640606796291171e-11,7.753405624271756e-11,1.1698510109457462e-10
43,11,4-back,7.975023673864538e-11,9.395392223685836e-11,4.00023104743703e-11,6.462880693186617e-11,1.212298175753221e-10,6.829886733975115e-11,7.865235084046022e-11,3.248829384627893e-11,5.367180778804877e-11,1.203808939883688e-10,9.797243482831403e-11,1.1244377026428868e-10,4.846377171554262e-11,8.850077718399924e-11,1.6284812757882033e-10,7.991301879141247e-11,7.069844276058158e-11,1.0204577631419297e-10
44,12,1-back,2.086755169572237e-10,1.3953559174507377e-10,1.201595263864961e-10,9.858555676609394e-11,1.4488581704761328e-10,1.9189745548584227e-10,1.3890265388267175e-10,9.828649241126432e-11,8.2834340137904e-11,1.4202368430719487e-10,2.71004329972537e-10,1.6974840111983584e-10,1.4342322656956702e-10,1.2478586754806624e-10,1.6434385364926362e-10,1.4236840178050017e-10,1.3078892524497542e-10,1.7466113577185395e-10
45,12,2-back,1.7759934906313864e-10,1.7769714785545445e-10,1.4296287121760064e-10,1.3811098067894713e-10,1.6595633590761141e-10,1.5645958442590125e-10,1.5652143656835016e-10,9.598250477165664e-11,9.88055464524237e-11,1.3903142898920648e-10,2.371042756416162e-10,2.0421500601869838e-10,1.7837930897049852e-10,1.400519697665059e-10,2.1339653801545433e-10,1.6046533694455047e-10,1.2936010024150767e-10,1.9462941968255463e-10
46,12,3-back,1.8209530265032365e-10,1.178494407341626e-10,1.2375533808293337e-10,1.0478669263909423e-10,1.268872926945566e-10,1.6725910122452157e-10,1.3178605802213034e-10,9.984958079813356e-11,1.0937752794953216e-10,1.5104615800695768e-10,2.346153491910456e-10,1.3930097069353767e-10,1.7980038563327254e-10,1.4298117410465096e-10,1.8391998615681147e-10,1.3107481336021407e-10,1.3186368520025507e-10,1.7612357315586365e-10
47,12,4-back,3.1882197016064166e-10,1.9945243645795263e-10,2.7511346064856363e-10,2.3190094507534643e-10,2.253965466703446e-10,2.7447240551491527e-10,1.7293604964435616e-10,2.2871136495172668e-10,2.0839101251149696e-10,1.8058171727610308e-10,3.8829867752383086e-10,2.398686404260259e-10,3.5420294179030416e-10,3.0474650213779885e-10,3.1644504842277404e-10,2.5013707180256976e-10,2.130185099797196e-10,3.2071236206014676e-10
48,13,1-back,1.687752130515087e-10,1.3916457893103684e-10,1.1648205306089563e-10,7.43004105379883e-11,2.403976719234744e-10,1.2744575351386792e-10,1.1996980484005683e-10,9.423496321899388e-11,5.4684918156097526e-11,1.91294839868203e-10,2.1988697877588306e-10,1.787581788224299e-10,1.3513225776686155e-10,9.259506521910914e-11,2.896785477969181e-10,1.4782398550098078e-10,1.1752605591944386e-10,1.8321020567624035e-10
49,13,2-back,1.266349833518761e-10,1.1949583490537972e-10,9.849536816902873e-11,7.771584303861546e-11,1.9080010734273018e-10,1.1433054016936101e-10,1.0431836176973893e-10,8.203210975504594e-11,6.113255209342971e-11,1.6530144572116453e-10,1.5778750463228e-10,1.6230463771585987e-10,1.1364423984556449e-10,9.998741132396394e-11,2.2420630123308249e-10,1.2262842736152606e-10,1.0542300190174803e-10,1.5158601895015017e-10
50,13,3-back,1.3796769789077038e-10,1.8369481021172844e-10,1.0102286629979496e-10,7.545444375355787e-11,1.928239701881807e-10,1.1133892937454795e-10,1.0627399055578095e-10,8.448571197480513e-11,6.19961298428325e-11,1.5395260910606727e-10,1.821898094094097e-10,1.6660397141705968e-10,1.3435952032932384e-10,9.469936629589879e-11,2.2706074664220632e-10,1.3819275766880647e-10,1.0360947417080675e-10,1.6098268281877967e-10
51,13,4-back,1.6700961823557613e-10,2.0383905278264688e-10,1.1978184481693733e-10,9.50324652328079e-11,2.454124699607717e-10,1.1921980395588263e-10,9.497083157736147e-11,9.068186120821639e-11,6.342922084519999e-11,1.6012713891637626e-10,1.4110696297781815e-10,1.6298021161527931e-10,1.3671847337561135e-10,1.0600630504611237e-10,2.4207037848151514e-10,1.6621509020574799e-10,1.0568577130060735e-10,1.5777646629926726e-10
52,14,1-back,2.2263677565373043e-10,1.6889259664284424e-10,2.9677270719244403e-10,1.8695335537554125e-10,2.2264058429920614e-10,1.6406393997431798e-10,1.4845431306817035e-10,1.453753333711729e-10,9.529999719934182e-11,1.7751562360892646e-10,2.960389407122635e-10,2.1381671458840588e-10,3.6187747061448156e-10,2.6693560513971445e-10,2.9955491771862223e-10,2.1957920383275322e-10,1.461418414443859e-10,2.876447297546975e-10
53,14,2-back,2.4150284080044896e-10,1.8455124230393984e-10,3.3199739887792706e-10,1.976997551173812e-10,2.388710948882411e-10,1.9696798779823777e-10,1.7147794178222813e-10,2.1349983641682347e-10,1.3436059134014957e-10,1.907767062140076e-10,2.846740150704609e-10,2.3390469030901673e-10,5.809610181404852e-10,2.7008952253753284e-10,3.112041289657676e-10,2.3892446639758764e-10,1.814166127102893e-10,3.3616667500465265e-10
