Sample,Condition,Electrode,Epoch,Theta_Power
1,2-back,F8,28,6.656096104776855e-11
1,2-back,F8,29,3.911331448352644e-11
1,2-back,F8,30,5.092482405133903e-11
1,2-back,F8,31,4.1789178672917563e-11
1,2-back,F8,32,2.1932060105380815e-10
1,2-back,F8,33,6.331906408392396e-11
1,2-back,F8,34,2.7068365753464263e-10
1,2-back,F8,35,8.180347699605794e-11
1,2-back,F8,36,4.1681159498930383e-11
1,2-back,F8,37,8.377413094007526e-11
1,2-back,F8,38,1.3744851081816197e-10
1,2-back,F8,39,4.62209621654317e-11
1,2-back,F8,40,7.793783127314737e-11
1,2-back,F8,41,9.508678739525721e-11
1,2-back,F8,42,4.0459503553194754e-11
1,2-back,F8,43,3.775982271842818e-11
1,2-back,F8,44,1.5035071365675775e-10
1,2-back,Fz,1,3.069738614442041e-11
1,2-back,Fz,2,9.187482873204798e-11
1,2-back,Fz,3,7.057566354870362e-11
1,2-back,Fz,4,1.4493858596940361e-10
1,2-back,Fz,5,1.6864024583986957e-11
1,2-back,Fz,6,4.686242500562644e-11
1,2-back,Fz,7,8.510114103694129e-11
1,2-back,Fz,8,6.097066253238309e-11
1,2-back,Fz,9,7.932661144591426e-11
1,2-back,Fz,10,3.9669871022508897e-11
1,2-back,Fz,11,1.3995505241443353e-10
1,2-back,Fz,12,1.1668970344098e-10
1,2-back,Fz,13,7.990251138194133e-11
1,2-back,Fz,14,1.873188948871667e-10
1,2-back,Fz,15,8.63644135495041e-11
1,2-back,Fz,16,9.3027758024364e-11
1,2-back,Fz,17,6.030334079949944e-10
1,2-back,Fz,18,7.666359998800054e-11
1,2-back,Fz,19,7.179523454327592e-11
1,2-back,Fz,20,1.0748595701867934e-10
1,2-back,Fz,21,1.6546570445235346e-10
1,2-back,Fz,22,1.2599655852552854e-10
1,2-back,Fz,23,1.432055108912118e-10
1,2-back,Fz,24,1.4859880835960102e-10
1,2-back,Fz,25,2.0362258514168071e-10
1,2-back,Fz,26,4.139962094514877e-10
1,2-back,Fz,27,6.532463269892437e-11
1,2-back,Fz,28,1.8412202614852628e-10
1,2-back,Fz,29,3.434414839784876e-11
1,2-back,Fz,30,1.0440607976767249e-10
1,2-back,Fz,31,1.018124769914418e-10
1,2-back,Fz,32,3.510887291241323e-10
1,2-back,Fz,33,3.5524054064280126e-11
1,2-back,Fz,34,1.8058571176948575e-10
1,2-back,Fz,35,9.965282402539971e-11
1,2-back,Fz,36,3.5624569181870757e-11
1,2-back,Fz,37,8.685160851181873e-11
1,2-back,Fz,38,1.5849308143927292e-10
1,2-back,Fz,39,5.450415728339103e-11
1,2-back,Fz,40,1.5948878140619355e-10
1,2-back,Fz,41,1.5256194115459335e-10
1,2-back,Fz,42,4.16288124928693e-11
1,2-back,Fz,43,2.457287460730001e-10
1,2-back,Fz,44,1.629063955971368e-10
1,3-back,F3,1,7.89628199114376e-11
1,3-back,F3,2,8.177329620774573e-11
1,3-back,F3,3,9.748622880511986e-11
1,3-back,F3,4,1.4070238063694173e-10
1,3-back,F3,5,2.3744285748119474e-10
1,3-back,F3,6,9.998992623591994e-11
1,3-back,F3,7,1.0596902164645558e-10
1,3-back,F3,8,4.965629537460901e-11
1,3-back,F3,9,5.623851986805517e-11
1,3-back,F3,10,2.4144645511443884e-10
1,3-back,F3,11,3.1423218152216874e-11
1,3-back,F3,12,6.988546458083521e-11
1,3-back,F3,13,1.34484815150995e-10
1,3-back,F3,14,7.143664624301524e-11
1,3-back,F3,15,9.22521035044805e-11
1,3-back,F3,16,7.769439359883501e-11
1,3-back,F3,17,1.425873994431666e-10
1,3-back,F3,18,2.8004225672843586e-11
1,3-back,F3,19,1.8023026662249215e-10
1,3-back,F3,20,9.739539526399271e-11
1,3-back,F3,21,3.344251911887165e-11
1,3-back,F3,22,3.87361549458928e-11
1,3-back,F3,23,1.8631876555408214e-10
1,3-back,F3,24,6.454781648151323e-11
1,3-back,F3,25,3.5906428389863175e-11
1,3-back,F3,26,8.697850794591247e-11
1,3-back,F3,27,1.3104498619331528e-10
1,3-back,F3,28,1.2432758577710152e-10
1,3-back,F3,29,5.241436035053015e-11
1,3-back,F3,30,5.095271131587932e-11
1,3-back,F3,31,1.04196287144499e-10
1,3-back,F3,32,5.066700711881662e-11
1,3-back,F3,33,1.736572456632554e-10
1,3-back,F3,34,9.264717819240417e-11
1,3-back,F3,35,8.395040815866219e-11
1,3-back,F3,36,7.382025239093617e-11
1,3-back,F3,37,1.9762177763422116e-10
1,3-back,F3,38,4.424956006877058e-11
1,3-back,F3,39,7.167125077422193e-11
1,3-back,F3,40,1.9088272739698372e-10
1,3-back,F3,41,1.1007675721600969e-10
1,3-back,F3,42,3.566255518635028e-11
1,3-back,F3,43,1.0452757378702207e-10
1,3-back,F3,44,2.655011636373701e-10
1,3-back,F3,45,1.7592021244314784e-11
1,3-back,F3,46,2.407867482514824e-10
1,3-back,F3,47,2.7918166500723187e-10
1,3-back,F3,48,5.5972892570634104e-11
