,Sample,Condition,F3_Mean,F4_Mean,F7_Mean,F8_Mean,Fz_Mean,F3_Median,F4_Median,F7_Median,F8_Median,Fz_Median,F3_Q75,F4_Q75,F7_Q75,F8_Q75,Fz_Q75,Frontal_Mean,Frontal_Median,Frontal_Q75
33,9,2-back,9.558748237425346e-08,1.0306230059907353e-07,1.1678212421303758e-07,1.0822376559067243e-07,1.2211325349218831e-07,9.442343875604242e-08,9.880057278100434e-08,8.634749024957659e-08,6.040562422837197e-08,1.1403588417375705e-07,1.2004853277378462e-07,1.2768633886340054e-07,1.6773500515693708e-07,1.482046809901396e-07,1.497165001520288e-07,1.0915378525384505e-07,9.080260203775047e-08,1.4267821158725813e-07
34,9,3-back,1.21190925287208e-07,1.2058269095706624e-07,1.7000570066398512e-07,1.6774868451613142e-07,1.5958435974536566e-07,1.0932172629834523e-07,9.455197658937421e-08,1.2878775889089125e-07,1.5165613976303297e-07,1.3715385968529034e-07,1.5351555751312548e-07,1.541539272089404e-07,2.464356514676119e-07,2.858246245605472e-07,2.0501329490832498e-07,1.4782247223395127e-07,1.242942922453868e-07,2.0898861113170998e-07
35,9,4-back,8.335455488981913e-08,8.514133234303538e-08,6.603771963696621e-08,6.797557369157565e-08,1.0121597409860286e-07,7.399276212571786e-08,8.371657202744373e-08,4.764515077746838e-08,5.7663066664969865e-08,9.130375027051222e-08,1.0038404801288538e-07,1.0394034317438949e-07,9.486199642189139e-08,7.904126728949375e-08,1.1876468721320737e-07,8.074503093199984e-08,7.08642603732224e-08,9.939846842237347e-08
36,10,1-back,9.302360662840857e-08,5.62715512560551e-08,1.663103337411572e-07,7.296804471153963e-08,9.49867125111663e-08,4.675340090885717e-08,3.8942752047729314e-08,3.3683705855771165e-08,3.432027513549472e-08,5.217122976872913e-08,1.4538886784704586e-07,7.688959547426798e-08,3.263413357674551e-07,1.1111871410716196e-07,1.3539555678636673e-07,9.671204976966536e-08,4.11742727433163e-08,1.590268139964595e-07
37,10,2-back,1.6425397107120065e-07,9.26406568563523e-08,3.1764403532606407e-07,1.3017854607414358e-07,1.6358994800059805e-07,1.846972494398657e-07,1.042013810922821e-07,3.978285182151634e-07,1.509310083976676e-07,1.924705394184648e-07,2.394688499986288e-07,1.227479480367066e-07,5.076052502155181e-07,1.8550256295873787e-07,2.259039630465199e-07,1.7366143146567175e-07,2.0602573931268875e-07,2.5624571485122226e-07
38,10,3-back,1.633748191165235e-07,9.108462881242276e-08,2.970450208657223e-07,1.2061888958704635e-07,1.538680988513583e-07,1.872600173664861e-07,9.694721420867862e-08,4.2029382913847277e-07,1.3748922513519386e-07,1.7109680018418565e-07,2.685258311777337e-07,1.4127406754292216e-07,5.239719434074911e-07,1.948405012436443e-07,2.54273045537302e-07,1.6519829144661466e-07,2.026174172066034e-07,2.7657707778181865e-07
39,10,4-back,1.639335678627837e-07,8.670806611202106e-08,3.165814861044678e-07,1.1958773853556885e-07,1.576308843667737e-07,1.790459760498596e-07,8.803498931739196e-08,4.3310535732522e-07,1.385151034612439e-07,1.7603085479449517e-07,2.6267096444219367e-07,1.2474832888442053e-07,5.37700317735028e-07,1.87546070324743e-07,2.487580183881715e-07,1.6888834859632304e-07,2.029464561896421e-07,2.722847399549113e-07
40,11,1-back,3.409089089813518e-08,3.855403166265603e-08,2.018532860235733e-08,3.807307781511257e-08,4.540335350373912e-08,2.7614595543262474e-08,3.152961593934429e-08,1.3665959891900112e-08,3.34138440917698e-08,3.954631108661221e-08,4.74378080300714e-08,4.876436259521153e-08,2.740079164082869e-08,4.7688654750601224e-08,5.585614534533106e-08,3.526133649640005e-08,2.9154065310577774e-08,4.5429552472408784e-08
41,11,2-back,2.8520835297054555e-08,3.6134241713935793e-08,1.6227076773512944e-08,3.270441099510504e-08,4.397495539702077e-08,2.75900304670945e-08,3.8120260807447395e-08,1.1337139852527101e-08,2.6412730977723804e-08,4.632667349903605e-08,3.803321936987828e-08,4.770519769235133e-08,2.3655891440150254e-08,5.152744298083918e-08,5.3566076260864524e-08,3.151230403532582e-08,2.995736712076577e-08,4.2897565548816716e-08
42,11,3-back,2.465880756360607e-08,3.380352632707059e-08,1.7413850460199037e-08,3.646461868868385e-08,3.596805670429294e-08,2.068549927188601e-08,2.9714428047752377e-08,1.625066067694862e-08,3.4740186264900725e-08,2.987974918396436e-08,2.7251098849758423e-08,4.502710614034473e-08,2.10863314951197e-08,5.119530034945012e-08,4.2227230597981324e-08,2.96617719487705e-08,2.6254104689090424e-08,3.735741348653086e-08
43,11,4-back,2.1976379791642842e-08,2.7676747748867042e-08,1.2585383571785314e-08,2.392763496406746e-08,3.36172007953263e-08,2.035705015159099e-08,2.4913484120335302e-08,9.808009409706795e-09,1.9001513736544025e-08,3.3678860661524276e-08,2.6748933868723736e-08,3.1907117180067005e-08,1.4745612741613659e-08,3.3439735927321836e-08,4.088116186035513e-08,2.395666937433779e-08,2.1551783615940277e-08,2.9544512315616276e-08
44,12,1-back,7.257216002653333e-08,5.119247009298769e-08,6.430981935607238e-08,5.485679622861343e-08,5.725424999826885e-08,7.250642668415486e-08,4.9145942114061473e-08,3.434636225475733e-08,4.211306666092312e-08,4.85826744670966e-08,8.580260416402786e-08,7.207462492457483e-08,9.580666476379857e-08,7.71933740311271e-08,8.22665577216796e-08,6.003709914049513e-08,4.933889443619869e-08,8.262876512104159e-08
45,12,2-back,5.2496354954786625e-08,5.1632031941280955e-08,4.539277348751939e-08,4.339792196318681e-08,4.646189509024936e-08,4.109513646393085e-08,4.0176406398988185e-08,2.952522550384312e-08,2.7521232496779556e-08,3.3375768910913855e-08,7.238170137796748e-08,6.146452785864173e-08,5.574249129097743e-08,5.6910257001805805e-08,5.736022386311104e-08,4.7876195487404626e-08,3.433875395489111e-08,6.07718402785007e-08
46,12,3-back,5.094993561674826e-08,3.4426127058862296e-08,3.514786682173793e-08,2.998833627377505e-08,3.281852308385251e-08,4.6337107027586974e-08,3.394848217721589e-08,2.9983704035238824e-08,2.2920323261247778e-08,3.3235148656845933e-08,6.389346818996152e-08,4.11201625389847e-08,4.412139832432842e-08,4.0277986036446214e-08,3.8965431749630716e-08,3.666615777099521e-08,3.3284953031627083e-08,4.567568936787031e-08
47,12,4-back,1.007033800126867e-07,7.403603442788454e-08,1.0169161775808793e-07,8.126002624287714e-08,7.535921884371883e-08,1.0987592206957756e-07,7.547585814580561e-08,9.200712352130425e-08,8.633934568254224e-08,6.842591106149732e-08,1.1822366976466712e-07,1.0176360371089453e-07,1.463395816704026e-07,1.1062409355701e-07,1.0378849842443318e-07,8.661005545705103e-08,8.64248320961454e-08,1.1614788942548147e-07
48,13,1-back,4.1262123688139015e-08,3.71086400789805e-08,3.1992430546551944e-08,2.2470363289300727e-08,5.779240870478321e-08,3.726357742712872e-08,3.3441168050903294e-08,2.4822538452046256e-08,1.7587264136437866e-08,5.3724499838742145e-08,5.05295097887147e-08,4.2334010694073584e-08,3.9338426309697005e-08,2.612086639556915e-08,6.904125104658509e-08,3.812519326155107e-08,3.336780958105165e-08,4.547281284692791e-08
49,13,2-back,3.8250063710472256e-08,3.864433122853329e-08,3.2774673313680294e-08,2.8008196322220923e-08,5.517246789047742e-08,3.544021218256513e-08,3.606179205582467e-08,2.4254520457272302e-08,2.1870755682742433e-08,5.082034072654949e-08,4.3121780815713424e-08,4.7419134036629985e-08,3.5892102764716625e-08,3.302117717956906e-08,6.67159093586416e-08,3.856994649307684e-08,3.36895242209908e-08,4.523402083105415e-08
50,13,3-back,4.3512003660124484e-08,5.573881661851436e-08,3.54851005147884e-08,2.6763611362983938e-08,5.804807575896176e-08,3.649537318152543e-08,3.302354210538401e-08,2.405778444332737e-08,2.0349946898042396e-08,5.0575975823062396e-08,5.0923982859334844e-08,4.8590198711891346e-08,3.950403090014078e-08,2.6196153144194254e-08,6.893293073977631e-08,4.390952158307459e-08,3.2900524490268326e-08,4.68294592710675e-08
51,13,4-back,4.580667872697879e-08,5.650151297690259e-08,3.752190856912895e-08,2.984018837228016e-08,6.059247868837479e-08,3.5638891515168814e-08,3.157323692477849e-08,2.8517079051744937e-08,1.9876473953297255e-08,5.1485076518772533e-08,4.685607308897299e-08,4.4127187718695245e-08,3.8006711491078324e-08,2.802019283767474e-08,6.256304928164593e-08,4.6052553466733056e-08,3.3418151592752406e-08,4.391464288361344e-08
52,14,1-back,7.871888160597094e-08,6.421649139139784e-08,1.3561327315961586e-07,8.097066337024575e-08,7.672644120833415e-08,7.696328283306282e-08,6.797284843104449e-08,1.593640403160088e-07,9.329186296494159e-08,7.475696487434669e-08,1.2210275724883838e-07,9.229296957357378e-08,2.1279913420072585e-07,1.279520328008877e-07,1.1256584385094545e-07,8.724915014711291e-08,9.446979988388088e-08,1.3354254753499423e-07
53,14,2-back,9.655864468063279e-08,8.037330095607977e-08,1.7264422614844972e-07,1.0554502922020813e-07,9.239994378676577e-08,8.669481013041201e-08,7.711204357939087e-08,1.6670545129951784e-07,9.83198506428432e-08,8.919153525751189e-08,1.0714914598502944e-07,1.0701223632256472e-07,2.2008924803161914e-07,1.4502411070896374e-07,1.1030541058983019e-07,1.0950422895842724e-07,1.0360473818193517e-07,1.3791603032760143e-07
54,14,3-back,1.0152767666806952e-07,8.615508124184429e-08,1.9541552555381582e-07,1.215198352265407e-07,9.65798203229541e-08,9.921917868390281e-08,8.532729880220163e-08,1.9038551376702685e-07,1.1106642789628623e-07,9.510115920406842e-08,1.4538796371367325e-07,1.3254748485216505e-07,2.6115427308874663e-07,1.9261126674519337e-07,1.3778365433595206e-07,1.2023958780264488e-07,1.1621991567069718e-07,1.7389692854714608e-07
